,rmR20,rmL20,rmYr5
00010,1.933436747402407e-34,3.0194393663580026e-32,4.128753819103774e-40
00095,5.408744053668048e-18,1.0006626646573098e-13,3.610420209473722e-09
00300,0.003412158519993589,0.034250068473327504,0.0974682402726675
00400,0.010341414607026922,3.7233984158777914e-14,2.4675717678950462e-15
00405,0.04842267270594155,0.21177615564486008,0.04327463221952497
00600,0.0003214214386633227,0.7645001204974579,0.008372629777793572
00605,3.551789428952094e-06,0.012803128047813863,0.016223402781483515
00618,0.12711884245020483,0.6311509900806833,0.138506970094829
00660,0.7062944609700987,0.004880512112925772,0.05629919149875908
00665,2.4622011523435433e-06,0.019565613394779562,0.03695589845527053
00681,8.729890738175197e-05,0.0010263730116920374,0.0018824577880323025
00915,7.815274241135437e-06,3.2109344224994606e-08,1.0620417170894136e-06
00925,0.00011182069966339016,1.0442017050439704e-08,3.896104985196887e-09
00930,0.3419647845312407,1.3454742552052394e-05,0.06301341192761031
00935,0.650743668725162,0.001961717357272282,0.23422586400916834
00940,0.1687229786542649,5.459922784842838e-05,0.13321654313329337
00945,9.859103117880705e-08,1.986064245848208e-11,4.134393715282888e-07
00955,0.007583098072647981,0.4341511019450902,0.08154446282568978
71846,5.660093804758776e-07,0.002285611249697799,0.0016157689422469637
80154,0.465796038534684,0.06837128638526586,0.93920876889946
